taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Asimina triloba (L.) Dunal,Asimina,triloba,,,,,w,,,United States of America,Nebraska,Richardson,,south of Rulo,,1086-60,,MORTON-STAFF,seed,3,Plant,Garden Grounds,,"Schulenberg, RF",1960,,
Asimina triloba (L.) Dunal,Asimina,triloba,,,,,w,,,United States of America,Illinois,,,"""locally""",,479-47,,,seed,2,Plant,Garden Grounds,,"Barber, A",,,
Asimina triloba (L.) Dunal,Asimina,triloba,,,,,w,,,United States of America,Iowa,Fremont,,"8 mi. east of Nebraska City, south of IA 2, in ravines behind Missouri River east bluff in Waubonsie State Park",,217-91,,1991 MORTON IA-NE SD. EXPED.,seed,1,Plant,Garden Grounds,,,1991,,
Asimina triloba (L.) Dunal,Asimina,triloba,,,,,w,,,United States of America,Indiana,Cass,,Logansport,,622-46,,MORTON-STAFF,seed,1,Plant,Garden Grounds,,,,,
Asimina triloba (L.) Dunal,Asimina,triloba,,,,,w,,,United States of America,Nebraska,Richardson,,1.5-2 mi. south of Rulo on Nature Conservancy Rulo Bluffs Preserve,,219-91,,1991 MORTON IA-NE SD. EXPED.,seed,3,Plant,Garden Grounds,,,1991,,
Asimina triloba (L.) Dunal,Asimina,triloba,,,,,w,,,United States of America,Illinois,Iroquois,,"Gaffield Creek, Frank Coughenour farm",,199-79,,MORTON-STAFF,seed,3,Plant,Garden Grounds,NI-15,"Schulenberg, RF",1978,,
Carya × nussbaumeri Sarg.,Carya,nussbaumeri,,,×,,w,,,United States of America,Iowa,Des Moines,,"about 7 miles north of Burlington, east of IA-99, at the 3rd pumping station",,76-92,,"MORTON-RESEARCH; grown from wild collected seed in Sept., 1984",plant,1,Plant,Garden Grounds,,"Wilhelm, G",,,
Carya cordiformis (Wangenh.) K.Koch,Carya,cordiformis,,,,,w,,,United States of America,Illinois,DuPage,,"east of Meadow Lake in The Morton Arboretum, Lisle",,290-2010,,MORTON,plant,1,Plant,Garden Grounds,,,,,
Carya cordiformis (Wangenh.) K.Koch,Carya,cordiformis,,,,,w,,,United States of America,Illinois,Kendall,,Oswego Cemetery,,547-82,,MORTON-STAFF,seed,9,Plant,Garden Grounds,1504,"Hedborn Jr, EA",1982,,
Carya cordiformis (Wangenh.) K.Koch,Carya,cordiformis,,,,,w,,,United States of America,"WI, IL, IN, MI",,,"native tree near the Schulenberg Prairie, The Morton Arboretum, Lisle",,335-2011,,MORTON,seed,1,Plant,Propagation,,"Dreisilker, KM",2011,,
