taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Corylus americana Walter,Corylus,americana,,,,,U,,,,,,,,,D0000-0174,,Unknown origin/source,Explant,2,Plant,Garden Grounds,,,,Det. by a taxonomic specialist,
Diospyros virginiana L.,Diospyros,virginiana,,,,,U,,,,,,,,,D0000-0329,,River (Nolin) Nut Tree Nursery,Explant,6,Plant,Garden Grounds,,,,Not determined,
Juglans nigra L.,Juglans,nigra,,,,,U,,,,,,,,,D0000-0434,,Unknown origin/source,Explant,82,Plant,Garden Grounds,,,,Not determined,
Prunus serotina Ehrh.,Prunus,serotina,,,,,U,,,,,,,,,D0000-1150,,Unknown origin/source,Explant,2,Plant,Garden Grounds,,,,Not determined,
Diospyros virginiana L.,Diospyros,virginiana,,,,,G,,,,,,,,,D1926-0016,,Storrs & Harrison,Plant,1,Plant,Garden Grounds,,,,Det. by comparison,
Carya laciniosa (F.Michx.) W.P.C.Barton,Carya,laciniosa,,,,,W,,,United States of America,OH,Washington County,Marietta,Along Muskingum River near Marietta,,D1930-0005,,Dawes Arboretum,Seed,7,Plant,Garden Grounds,,,,Not determined,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,G,,,,,,,,,D1933-0004,,"Sam Houston State Teachers College, Huntsville, TX",Seed,2,Plant,Garden Grounds,,,,Det. by a taxonomist,
Diospyros virginiana L.,Diospyros,virginiana,,,,,G,,,,,,,,,D1933-0006,,"Lane, Thos. J., Tree Seedsman",Seed,1,Plant,Garden Grounds,,,,Not determined,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,G,,,,,,,,,D1937-0005,,F. W. Kelsey Nursery,Plant,3,Plant,Garden Grounds,,,,Det. by comparison,
Corylus americana Walter,Corylus,americana,,,,,G,,,,,,,,,D1942-0023,,TDA Nursery (orig. source unknown),Plant,1,Plant,Garden Grounds,,,,Det. by a taxonomic specialist,
