"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"5937",,,,"","Collected where farm road 1050 (A.K.A. Ranch Rd. 1050) crosses Frio River (this appears to be the border of Garner State Park, just east of Hwy. 83 - SBL)","0"
"435747",,,,"","Hokkaido Prefecture; Nakagawa; Nakagawa Experimental Forest, 4 to 8 km NE of Saku, Forest Section 121.","0"
"469609",,,,"","Laojunshan Yaowan canyon on west side of the Jiuchong River, ca 1 km south of Mucheng; northwestern Hubei Province.","1"
"480827",,,,"","Site 36.  University of Furano Forest Arboretum, Yamabe, Furano-shi.","2"
"2935624",,,,"","Weinsberg","0"
"2935625",,,,"","Wieselburg","0"
"2935630",,,,"","Pulkau","0"
"2935640",,,,"","Bad Sauerbrunn","0"
"2935656",,,,"","Sittendorf","0"
"2977489",,,,"","s. Giushevo, Kiustendil","35"
"2977490",,,,"","s. Ranentzi, Kiustendil","35"
"2977491",,,,"","s. Giushevo, Kiustendil","33"
"2977492",,,,"","s. Boeshevo, Kiustenil","33"
"2977493",,,,"","s. Boeshevo, Kiustenil","33"
"2977494",,,,"","s. Giushevo, Kiustendil","33"
"2977495",,,,"","s. Giushevo, Kiustendil","33"
"2977496",,,,"","s. Bolevo, Kiustendil","34"
"2977497",,,,"","s. Giushevo, Kiustendil","35"
"2977498",,,,"","s. Garliano, Kiustendil","35"
"2977499",,,,"","s. Kamenichka, Kiustendil","34"
"2977500",,,,"","s. Giushevo, Kiustendil","34"
"2977501",,,,"","s. Giushevo, Kiustendil","36"
"3022701",,"999-08",,"",,"33"
"3022702",,"999-07",,"",,"31"
"3022703",,"999-06",,"",,"32"
"3022704",,"999-05",,"",,"33"
"3022705",,"999-04",,"",,"32"
"3022706",,"999-02",,"",,"33"
"3022707",,"999-01",,"",,"33"
"3022708",,"973-02",,"61","Salvenach","33"
"3022709",,"896-01",,"22","Porsel","35"
"3022710",,"775-01",,"61","Nuvilly","33"
"3022711",,"624-01",,"21","Brig","35"
"3022712",,"560-01",,"23","La Chaux-de-fonds","35"
"3022713",,"505-01",,"21","Vendlincourt","34"
"3022714",,"480-01",,"22","Meinier","34"
"3022715",,"402-01",,"","Caux","34"
"3022716",,"411-01",,"","Rougemont","32"
"3022717",,"221-02",,"22","Mont-la-Ville","35"
"3022718",,"182-01",,"","Bassins","34"
"3022719",,"159-01",,"22","Gilly","33"
"3022720",,"041-01",,"","St-Légier","34"
"3022721",,"036-01",,"","Jongny","34"
"3022722",,"039-03",,"22","Le Mont-sur-Lausanne","34"
"3022723",,"014-05",,"22","Penthaz","35"
"3022724",,"020-01",,"23","Mont-sur-Rolle","34"
"3416608",,"00056",,"40","Chernivetska obl.","23"
"3416609",,"00050",,"40","Chernivetska obl.","23"
"3416610",,"00051",,"40","Chernivetska obl.","21"
"3416611",,"00046",,"40","Chernivetska obl.","21"
"3416612",,"00047",,"40","Chernivetska obl.","22"
"3416613",,"00045",,"40","Chernivetska obl.","23"
"3416614",,"00044",,"40","Chernivetska obl.","23"
"3416615",,"00042",,"40",,"20"
