"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","curationType","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"5937","7a544657-b31b-4343-b613-86a15c7ea5b4","USA151","NA 9068",,"Juglans","microcarpa","Berland.","","","Juglans microcarpa Berland.",,"","19560905","","","false","",,"999",,"","","4","2024-06-21 15:44:34"
"356298","f5e72a0b-3866-404d-b099-47ed9a8299b1","USA020","Ames 2964",,"Juglans","mandshurica","Maxim.","","","Juglans mandshurica Maxim.",,"","19840604","","","false","","10;20","999",,"","","4","2024-06-21 12:43:06"
"435747","6c2ecd21-df1e-47d8-a373-6fab0198a153","USA151","NA 69046",,"Juglans","ailantifolia","Carriere","","","Juglans ailantifolia Carriere","JPN","","19980701","","","false","",,"999",,"","","4","2024-06-21 15:57:08"
"468849","069a4342-f640-4b95-943b-3560d26946c5","USA151","NA 71266",,"Juglans","mandshurica","Maxim.","","","Juglans mandshurica Maxim.","RUS","","20010901","","","false","","10","100",,"","","4","2024-06-21 13:54:49"
"469609","11d49f37-f3b1-4658-ac5a-b6220bcc96e9","USA151","NA 49260",,"Juglans","mandshurica","Maxim.","","","Juglans mandshurica Maxim.","CHN","","19801115","","","false","",,"999",,"","","4","2024-06-21 15:44:27"
"480827","c776a7bd-4d45-4862-9a2e-9b3877d62881","USA020","PI 479454",,"Juglans","ailantifolia","Carriere","","","Juglans ailantifolia Carriere","JPN","","19821001","","","false","","20","999",,"","","4","2024-06-21 13:24:41"
"2935624","4065a105-bf98-4367-995a-ca586cdbd056","AUT006","IOGWIEN-JUG-040",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935625","9c3b3aa9-393c-48e5-b19f-ec249c2ca192","AUT006","IOGWIEN-JUG-041",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935626","d0086caf-dd3e-4ab9-a463-7edc64ae4143","AUT006","IOGWIEN-JUG-037",,"Juglans","regia","L.","","","Juglans regia L.","HUN","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935627","7db238d8-d1f8-4665-a42b-9f3b3792e721","AUT006","IOGWIEN-JUG-038",,"Juglans","regia","L.","","","Juglans regia L.","HUN","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935628","fc906bf1-8dd6-441d-ac8e-ec39135a43de","AUT006","IOGWIEN-JUG-039",,"Juglans","regia","L.","","","Juglans regia L.","HUN","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935629","47b8e81b-d8d4-45b8-afa8-b2918d2d2873","AUT006","IOGWIEN-JUG-036",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935630","75eac446-c567-4d63-9c0b-26a1b8e39991","AUT006","IOGWIEN-JUG-035",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935631","7b1f396b-defc-4205-b975-0c4f6f1666a1","AUT006","IOGWIEN-JUG-034",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935632","e58a0a5f-a831-4003-ba51-dea1733d79f6","AUT006","IOGWIEN-JUG-031",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935633","0a35acdf-eab4-4682-a9c4-e17720eb7429","AUT006","IOGWIEN-JUG-032",,"Juglans","regia","L.","","","Juglans regia L.","FRA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935634","5908bcc9-db9a-45c1-bbe9-6cacd6951cf0","AUT006","IOGWIEN-JUG-030",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935635","568794fa-1107-409a-9f2a-61804f1fe01a","AUT006","IOGWIEN-JUG-029",,"Juglans","regia","L.","","","Juglans regia L.","HUN","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935636","7e2241c7-4671-428a-8bae-17e4276890b0","AUT006","IOGWIEN-JUG-027",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935637","0f65b7fb-fb3d-44b7-bad9-24ecacb5087b","AUT006","IOGWIEN-JUG-028",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935638","f99dcd48-3773-47f7-a171-7b43da468bad","AUT006","IOGWIEN-JUG-025",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935639","9b433319-07dd-4561-ac72-298528c59bda","AUT006","IOGWIEN-JUG-026",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935640","498a1900-0531-4291-85cf-4be92c40e41a","AUT006","IOGWIEN-JUG-024",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935641","18788e9c-d3d1-465d-934e-de2d552ea660","AUT006","IOGWIEN-JUG-022",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935642","2a20d43c-7f15-4972-91d3-ab8bb6f20cca","AUT006","IOGWIEN-JUG-023",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935643","61da80a8-2a75-4934-9b18-923d16d46493","AUT006","IOGWIEN-JUG-021",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935644","21776750-1a3f-4414-8ec1-19253b1b171d","AUT006","IOGWIEN-JUG-020",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935645","c0eefaf8-c84b-42ca-8c4e-259544cac10f","AUT006","IOGWIEN-JUG-019",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935646","47ab4aba-f302-48f7-86e2-88c363a086ac","AUT006","IOGWIEN-JUG-018",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935647","1dcd606d-4003-4a81-b520-214b38fe171f","AUT006","IOGWIEN-JUG-016",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935648","3ad75f78-7283-4946-b460-9bc32d8ab9c0","AUT006","IOGWIEN-JUG-017",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935649","83a08626-a972-426f-a18d-3fcea7888236","AUT006","IOGWIEN-JUG-015",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935650","9b097f0d-cb8f-4321-aba3-164ed5516604","AUT006","IOGWIEN-JUG-014",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935651","ae6a9142-ce6d-4912-884b-e94b6e455ba9","AUT006","IOGWIEN-JUG-013",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935652","ebbd3818-a009-41d5-b1fd-1b9c41e5edf2","AUT006","IOGWIEN-JUG-011",,"Juglans","regia","L.","","","Juglans regia L.","FRA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935653","460fa3db-e047-47d3-90e6-1701a6434977","AUT006","IOGWIEN-JUG-012",,"Juglans","regia","L.","","","Juglans regia L.","FRA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935654","00153586-f263-4a3c-a307-a6bfb842d98b","AUT006","IOGWIEN-JUG-010",,"Juglans","regia","L.","","","Juglans regia L.","HUN","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935655","59127100-0834-4dae-bed9-a9864cf1571c","AUT006","IOGWIEN-JUG-009",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935656","d99ef34e-def8-40e1-ad43-aaceafacef1a","AUT006","IOGWIEN-JUG-008",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935657","d6fc9164-0a5d-4b43-bd4a-43ce893b2688","AUT006","IOGWIEN-JUG-007",,"Juglans","regia","L.","","","Juglans regia L.","AUT","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935658","5a050f23-14fb-412f-ac34-5f891f770b4a","AUT006","IOGWIEN-JUG-006",,"Juglans","regia","L.","","","Juglans regia L.","HUN","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935659","14996bda-b41b-4848-aa06-6575fa85f126","AUT006","IOGWIEN-JUG-004",,"Juglans","regia","L.","","","Juglans regia L.","USA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935660","a55673fa-e740-4677-8eca-30ee2b830555","AUT006","IOGWIEN-JUG-005",,"Juglans","regia","L.","","","Juglans regia L.","USA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935661","a791b5fa-ec79-4b55-85c0-69879a0a9e86","AUT006","IOGWIEN-JUG-003",,"Juglans","regia","L.","","","Juglans regia L.","USA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935662","e51db2a7-91b9-4771-a28b-57058c24dd6e","AUT006","IOGWIEN-JUG-002",,"Juglans","regia","L.","","","Juglans regia L.","USA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2935663","f5d22ce9-6ec3-455f-bbbb-aa70620cec09","AUT006","IOGWIEN-JUG-001",,"Juglans","regia","L.","","","Juglans regia L.","USA","",,"false","","false","","20","",,"","","1285","2023-11-18 10:07:15"
"2967876","759b7202-41dc-4cda-bbe8-3e2a24972498","BGR001","1984-JUG-RE-8",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"","","false","","12","",,"","","1285","2023-11-18 08:57:38"
"2967877","a9db7c0a-b4ec-424e-b240-c843ea4bb4e2","BGR001","1984-JUG-RE-6",,"Juglans","regia","L.","","","Juglans regia L.",,"",,"","","false","","12","",,"","","1285","2023-11-18 08:57:39"
