"genesysId","instCode","name","aliasType","lang","version"
"5937","USA126","NA 9068","OTHERNUMB",,"0"
"356298",,"189","ACCENAME",,"0"
"356298","USA126","Ames 2964","OTHERNUMB",,"0"
"356298",,"189","OTHERNUMB",,"0"
"356298",,"189","DONORNUMB",,"0"
"435747","USA126","NA 69046","OTHERNUMB",,"0"
"468849","USA126","NA 71266","OTHERNUMB",,"0"
"468849",,"VV-32","ACCENAME",,"0"
"468849",,"VV-32","OTHERNUMB",,"0"
"469609","USA126","NA 49260","OTHERNUMB",,"0"
"480827",,"JH-192-82","ACCENAME",,"0"
"480827",,"NA 51209","OTHERNUMB",,"1"
"480827",,"JH-192-82","OTHERNUMB",,"0"
"480827",,"MK 0982","OTHERNUMB",,"0"
"2935624",,"Weinsberg 1","ACCENAME",,"0"
"2935625",,"Wieselburg","ACCENAME",,"0"
"2935626",,"Tiszacsecsei 13","ACCENAME",,"0"
"2935627",,"Tiszascescei 56","ACCENAME",,"0"
"2935628",,"Tiszascescei 72","ACCENAME",,"0"
"2935629",,"Seiffersdorfer","ACCENAME",,"0"
"2935630",,"Pulkau 50/50","ACCENAME",,"0"
"2935631",,"Pferdenuss Rath","ACCENAME",,"0"
"2935632",,"Nuss Talphi","ACCENAME",,"0"
"2935633",,"Parisienne","ACCENAME",,"0"
"2935634",,"Nuss Huber","ACCENAME",,"0"
"2935635",,"Milotai","ACCENAME",,"0"
"2935636",,"Mars 150","ACCENAME",,"0"
"2935637",,"Mayette","ACCENAME",,"0"
"2935638",,"Lake","ACCENAME",,"0"
"2935639",,"Mars","ACCENAME",,"0"
"2935640",,"Killinger Sauerbrunn","ACCENAME",,"0"
"2935641",,"Geis 1320","ACCENAME",,"0"
"2935642",,"Jupiter","ACCENAME",,"0"
"2935643",,"Geis 1247","ACCENAME",,"0"
"2935644",,"Geis 1049","ACCENAME",,"0"
"2935645",,"Geis 674","ACCENAME",,"0"
"2935646",,"Geis 286","ACCENAME",,"0"
"2935647",,"Geis 175","ACCENAME",,"0"
"2935648",,"Geis 252","ACCENAME",,"0"
"2935649",,"Geis 139","ACCENAME",,"0"
"2935650",,"Geis 120","ACCENAME",,"0"
"2935651",,"Geis 26","ACCENAME",,"0"
"2935652",,"Franquette","ACCENAME",,"0"
"2935653",,"Franzoesische Papiernuss","ACCENAME",,"0"
"2935654",,"Esterhazy II","ACCENAME",,"0"
"2935655",,"Chandler","ACCENAME",,"0"
"2935656",,"Blutnuss Sittendorf","ACCENAME",,"0"
"2935657",,"Blutnuss Rath","ACCENAME",,"0"
"2935658",,"Alsoszentivany 118","ACCENAME",,"0"
"2935659",,"6 M","ACCENAME",,"0"
"2935660",,"7 Z","ACCENAME",,"0"
"2935661",,"3 F","ACCENAME",,"0"
"2935662",,"2 L","ACCENAME",,"0"
"2935663",,"1 B","ACCENAME",,"0"
"2967876",,"RA 431","DONORNUMB",,"1"
"2967876","BGR001","84801013","OTHERNUMB",,"0"
"2967876",,"Pedro","ACCENAME",,"0"
"2967877",,"RA 430","DONORNUMB",,"1"
"2967877","BGR001","84801011","OTHERNUMB",,"0"
"2967877",,"Chico","ACCENAME",,"0"
"2967878",,"RA 399","DONORNUMB",,"1"
"2967878","BGR001","84801012","OTHERNUMB",,"0"
"2967878",,"Geisenheim","ACCENAME",,"0"
"2967879",,"RA 499","DONORNUMB",,"1"
"2967879","BGR001","84801009","OTHERNUMB",,"0"
"2967879",,"Serr","ACCENAME",,"0"
"2967880",,"RA 494","DONORNUMB",,"1"
"2967880","BGR001","84801010","OTHERNUMB",,"0"
"2967880",,"CHASE D9","ACCENAME",,"0"
"2967881",,"RA 440","DONORNUMB",,"1"
"2967881","BGR001","84801008","OTHERNUMB",,"0"
"2967881",,"SHARKEY","ACCENAME",,"0"
"2967882",,"RA 948","DONORNUMB",,"1"
"2967882","BGR001","84801006","OTHERNUMB",,"0"
"2967882",,"SIBISEL","ACCENAME",,"0"
"2967883",,"RA 488","DONORNUMB",,"1"
"2967883","BGR001","84801007","OTHERNUMB",,"0"
"2967883",,"Adams 10","ACCENAME",,"0"
"2967884","BGR001","84801005","OTHERNUMB",,"0"
"2967885","BGR001","84801003","OTHERNUMB",,"0"
"2967885",,"HD 6-15","ACCENAME",,"0"
"2967887","BGR001","84801001","OTHERNUMB",,"0"
"2967887",,"RP 3-2","ACCENAME",,"0"
"2970167","BGR001","83801004","OTHERNUMB",,"0"
"2970167",,"PARISIENNE RA295","ACCENAME",,"0"
"2970168","BGR001","83801003","OTHERNUMB",,"0"
"2970168",,"HARTLEY RA3M","ACCENAME",,"0"
"2970169","BGR001","83801001","OTHERNUMB",,"0"
"2970169",,"MEYLANNAISE RA1019","ACCENAME",,"0"
"2970170","BGR001","83801002","OTHERNUMB",,"0"
"2970170",,"RONDE DE MONTIGNAC RA38","ACCENAME",,"0"
"2972368","BGR001","82801034","OTHERNUMB",,"0"
"2972368",,"Midland","ACCENAME",,"0"
"2972369","BGR001","82801032","OTHERNUMB",,"0"
"2972369",,"Pedro","ACCENAME",,"0"
"2972370","BGR001","82801033","OTHERNUMB",,"0"
"2972370",,"Hartley","ACCENAME",,"0"
"2972371","BGR001","82801030","OTHERNUMB",,"0"
"2972371",,"Tehama","ACCENAME",,"0"
"2972372","BGR001","82801031","OTHERNUMB",,"0"
"2972372",,"PAYNE(R7 T17)","ACCENAME",,"0"
"2972373","BGR001","82801028","OTHERNUMB",,"0"
"2972373",,"MARCHETTI","ACCENAME",,"0"
"2972374","BGR001","82801029","OTHERNUMB",,"0"
"2972374",,"AMIGO","ACCENAME",,"0"
"2972375","BGR001","82801027","OTHERNUMB",,"0"
"2972375",,"PAYNE(R7 T18)","ACCENAME",,"0"
"2977489","BGR001","85E0113","OTHERNUMB",,"0"
"2977489",,"LOCAL","ACCENAME",,"0"
"2977490","BGR001","85E0112","OTHERNUMB",,"0"
"2977490",,"LOCAL","ACCENAME",,"0"
"2977491","BGR001","85E0111","OTHERNUMB",,"0"
"2977491",,"LOCAL","ACCENAME",,"0"
"2977492","BGR001","85E0110","OTHERNUMB",,"0"
"2977492",,"LOCAL","ACCENAME",,"0"
"2977493","BGR001","85E0019","OTHERNUMB",,"0"
"2977493",,"LOCAL","ACCENAME",,"0"
"2977494","BGR001","85E0018","OTHERNUMB",,"0"
"2977494",,"LOCAL","ACCENAME",,"0"
"2977495","BGR001","85E0017","OTHERNUMB",,"0"
"2977495",,"LOCAL","ACCENAME",,"0"
"2977496","BGR001","85E0016","OTHERNUMB",,"0"
"2977496",,"LOCAL","ACCENAME",,"0"
"2977497","BGR001","85E0014","OTHERNUMB",,"0"
"2977497",,"LOCAL","ACCENAME",,"0"
"2977498","BGR001","85E0015","OTHERNUMB",,"0"
"2977498",,"LOCAL","ACCENAME",,"0"
"2977499","BGR001","85E0013","OTHERNUMB",,"0"
"2977499",,"LOCAL","ACCENAME",,"0"
"2977500","BGR001","85E0012","OTHERNUMB",,"0"
"2977500",,"LOCAL","ACCENAME",,"0"
"2977501","BGR001","85E0011","OTHERNUMB",,"0"
"2977501",,"LOCAL","ACCENAME",,"0"
"3022701",,"SIBISEL","ACCENAME",,"0"
"3022701",,"999-08","COLLNUMB",,"0"
"3022702",,"Gisinuss","ACCENAME",,"0"
"3022702",,"999-07","COLLNUMB",,"0"
"3022703",,"Noyer pleureur","ACCENAME",,"0"
"3022703",,"999-06","COLLNUMB",,"0"
"3022704",,"999-05","COLLNUMB",,"0"
"3022704",,"RA611 MUTTERBAUM","ACCENAME",,"0"
"3022705",,"Rote Donau Mutterbaum","ACCENAME",,"0"
"3022705",,"999-04","COLLNUMB",,"0"
"3022706",,"999-02","COLLNUMB",,"0"
"3022706",,"NOYER FEUILLES POURPRES FAW MUTTERBAUM","ACCENAME",,"0"
"3022707",,"999-01","COLLNUMB",,"0"
"3022707",,"HAUENSTEIN MUTTERBAUM","ACCENAME",,"0"
"3022708",,"Inconnu 168","ACCENAME",,"0"
"3022708",,"973-02","COLLNUMB",,"0"
"3022709",,"896-01","COLLNUMB",,"0"
"3022709",,"INCONNU 153","ACCENAME",,"0"
"3022710",,"Inconnu 133","ACCENAME",,"0"
"3022710",,"775-01","COLLNUMB",,"0"
"3022711",,"624-01","COLLNUMB",,"0"
"3022711",,"BIJOUX 2","ACCENAME",,"0"
"3022712",,"560-01","COLLNUMB",,"0"
"3022712",,"INCONNU 94","ACCENAME",,"0"
"3022713",,"Jean-Louis Corbat","ACCENAME",,"0"
"3022713",,"505-01","COLLNUMB",,"0"
"3022714",,"J. x intermedia 1","ACCENAME",,"0"
"3022714",,"480-01","COLLNUMB",,"0"
"3022715",,"402-01","COLLNUMB",,"0"
"3022715",,"INCONNU 61","ACCENAME",,"0"
"3022716",,"Inconnu 62","ACCENAME",,"0"
"3022716",,"411-01","COLLNUMB",,"0"
"3022717",,"221-02","COLLNUMB",,"0"
"3022717",,"INCONNU 47","ACCENAME",,"0"
"3022718",,"182-01","COLLNUMB",,"0"
"3022718",,"INCONNU 34","ACCENAME",,"0"
"3022719",,"Franquette Mutterbaum","ACCENAME",,"0"
"3022719",,"159-01","COLLNUMB",,"0"
"3022720",,"041-01","COLLNUMB",,"0"
"3022720",,"INCONNU 8","ACCENAME",,"0"
"3022721",,"036-01","COLLNUMB",,"0"
"3022721",,"INCONNU 6","ACCENAME",,"0"
"3022722",,"Le Mont-sur-Lausanne 3 Mutterbaum","ACCENAME",,"0"
"3022722",,"039-03","COLLNUMB",,"0"
"3022723",,"014-05","COLLNUMB",,"0"
"3022723",,"INCONNU 181","ACCENAME",,"0"
"3022724",,"J. x intermedia 2","ACCENAME",,"0"
"3022724",,"020-01","COLLNUMB",,"0"
"3026565",,"Dolni Redice 1","ACCENAME",,"0"
"3026566",,"Hanzen","ACCENAME",,"0"
"3026567",,"TU-2","ACCENAME",,"0"
"3026568",,"TU-1","ACCENAME",,"0"
"3026569",,"Snajdruv","ACCENAME",,"0"
"3026570",,"Seifersdorfer","ACCENAME",,"0"
"3026570",,"Seifersdorfský kulatý","ACCENAME",,"0"
"3026570",,"Seifersdorfsky kulaty","ACCENAME",,"0"
"3026571",,"Ockerwitzer","ACCENAME",,"0"
"3026572",,"Saturn","ACCENAME",,"0"
"3026573",,"Mars","ACCENAME",,"0"
"3026574",,"NO 116","ACCENAME",,"0"
"3026575",,"NO 117","ACCENAME",,"0"
"3026576",,"Lake","ACCENAME",,"0"
"3026577",,"Magdon","ACCENAME",,"0"
"3026578",,"Hospozinsky","ACCENAME",,"0"
"3026579",,"Jupiter","ACCENAME",,"0"
"3026580",,"Buchlov","ACCENAME",,"0"
"3026582",,"APOLLO","ACCENAME",,"0"
"3026583",,"BR-1-Prsticky","ACCENAME",,"0"
"3416608",,"S 4","ACCENAME",,"0"
"3416608",,"00056","COLLNUMB",,"0"
"3416609",,"S 163","ACCENAME",,"0"
"3416609",,"00050","COLLNUMB",,"0"
"3416610",,"S 177","ACCENAME",,"0"
"3416610",,"00051","COLLNUMB",,"0"
"3416611",,"P 208","ACCENAME",,"0"
"3416611",,"00046","COLLNUMB",,"0"
"3416612",,"S 1","ACCENAME",,"0"
"3416612",,"00047","COLLNUMB",,"0"
"3416612","UKR034","210004","OTHERNUMB",,"0"
"3416613",,"P 187","ACCENAME",,"0"
"3416613",,"00045","COLLNUMB",,"0"
"3416614",,"P 173","ACCENAME",,"0"
"3416614",,"00044","COLLNUMB",,"0"
"3416615",,"M 865","ACCENAME",,"0"
"3416615",,"00042","COLLNUMB",,"0"
"3416616",,"K 45","ACCENAME",,"0"
"3416616",,"00040","COLLNUMB",,"0"
"3416617",,"D 149","ACCENAME",,"0"
"3416617",,"00035","COLLNUMB",,"0"
"3416618",,"D 3","ACCENAME",,"0"
"3416618",,"00028","COLLNUMB",,"0"
"3416619",,"G 2","ACCENAME",,"0"
"3416619",,"00027","COLLNUMB",,"0"
"3416620",,"00025","COLLNUMB",,"0"
"3416620",,"¿¿¿¿..45","ACCENAME",,"0"
"3416621",,"09981","COLLNUMB",,"0"
"3416621",,"Slaboroslyj n 2","ACCENAME",,"0"
"3416622",,"09978","COLLNUMB",,"0"
"3416622",,"Regorskij","ACCENAME",,"0"
"3416623",,"09979","COLLNUMB",,"0"
"3416623",,"Gissarskij","ACCENAME",,"0"
"3416624",,"09980","COLLNUMB",,"0"
"3416624",,"Slaboroslyj n 1","ACCENAME",,"0"
"3416625",,"09976","COLLNUMB",,"0"
"3416625",,"PARTIZANSKIJ","ACCENAME",,"0"
"3416626",,"09977","COLLNUMB",,"0"
"3416626",,"POMOLOGICHESKIJ","ACCENAME",,"0"
"3416627",,"09974","COLLNUMB",,"0"
"3416627",,"Leskhozovskij n 4","ACCENAME",,"0"
"3416628",,"09975","COLLNUMB",,"0"
"3416628",,"LESKHOZOVSKIJ N 5","ACCENAME",,"0"
"3416629",,"09973","COLLNUMB",,"0"
"3416629",,"LESKHOZOVSKIJ N 3","ACCENAME",,"0"
"3416630",,"09971","COLLNUMB",,"0"
"3416630",,"LESKHOZOVSKIJ N 2","ACCENAME",,"0"
"3416631",,"09972","COLLNUMB",,"0"
"3416631",,"LESKHOZOVSKIJ N 1","ACCENAME",,"0"
"3416632",,"09970","COLLNUMB",,"0"
"3416632",,"Leskhozovskij","ACCENAME",,"0"
"3416633",,"09967","COLLNUMB",,"0"
"3416633",,"KRYMSKIJ IUBILEJNYJ","ACCENAME",,"0"
"3416634",,"09968","COLLNUMB",,"0"
"3416634",,"Kamyshlovskij","ACCENAME",,"0"
"3416635",,"BUBENCHIK","ACCENAME",,"0"
"3416635",,"09963","COLLNUMB",,"0"
"3416637",,"09965","COLLNUMB",,"0"
"3416637",,"GIGANT","ACCENAME",,"0"
"3416638",,"09966","COLLNUMB",,"0"
"3416638",,"KOMSOMOLSKIJ","ACCENAME",,"0"
"3416639",,"09962","COLLNUMB",,"0"
"3416639",,"BOLGARSKIJ N 2","ACCENAME",,"0"
"3416640",,"09961","COLLNUMB",,"0"
"3416640",,"Bolgarskij n 1","ACCENAME",,"0"
"3416641",,"09960","COLLNUMB",,"0"
"3416641",,"BELBEKSKIJ","ACCENAME",,"0"
"3416642",,"02185","COLLNUMB",,"0"
"3416642",,"Gorikh chornij","ACCENAME",,"0"
"3416643",,"02183","COLLNUMB",,"0"
"3416643",,"Gorikh ajlantolistij","ACCENAME",,"0"
"3416644",,"02184","COLLNUMB",,"0"
"3416644",,"Gorikh khajndsa","ACCENAME",,"0"
"3416651",,"02118","COLLNUMB",,"0"
"3416651",,"Gorikh  sirij","ACCENAME",,"0"
"3416653",,"02117","COLLNUMB",,"0"
"3416653",,"Gorikh manchzhurskij","ACCENAME",,"0"
"3416656",,"VAVILOVSKII","ACCENAME",,"0"
"3416657",,"02115","COLLNUMB",,"0"
"3416657",,"Gorikh  manchzhurskij","ACCENAME",,"0"
"3416658",,"UZBEKSKII 2-1","ACCENAME",,"0"
"3416659",,"BOMBA","ACCENAME",,"0"
"3416660",,"UZBEKSKII 3-1","ACCENAME",,"0"
"3416661",,"UZBEKSKII 8-5","ACCENAME",,"0"
"3416662",,"SHORTAUZSKII 16","ACCENAME",,"0"
"3416663",,"UZBEKSKII 3-3","ACCENAME",,"0"
"3416664",,"Uzbekskii 4-1","ACCENAME",,"0"
"3416665",,"SHORTAUZSKII 6","ACCENAME",,"0"
"3416666",,"SHORTAUZSKII 4","ACCENAME",,"0"
"3416667",,"SHORTAUZSKII 8","ACCENAME",,"0"
"3416668",,"LENINABADSKII 19","ACCENAME",,"0"
"3416669",,"KUIBYSHEVSKII 12","ACCENAME",,"0"
"3416670",,"LENINABADSKII 24","ACCENAME",,"0"
"3416671",,"LENINABADSKII 16","ACCENAME",,"0"
"3416672",,"KUIBYSHEVSKII 413","ACCENAME",,"0"
"3416673",,"KUIBYSHEVSKII 421","ACCENAME",,"0"
"3416674",,"FERGANSKII 16","ACCENAME",,"0"
"3416675",,"FERGANSKII 19","ACCENAME",,"0"
"3416676",,"VERZYUBSKII","ACCENAME",,"0"
"3416677",,"PARADOKS","ACCENAME",,"0"
"3416678",,"BM 4","ACCENAME",,"0"
"3416679",,"ALSHOSEPTIVANI","ACCENAME",,"0"
"3416680",,"MONASTYRSKII","ACCENAME",,"0"
"3416682",,"MAIKOPSKII 71","ACCENAME",,"0"
"3416683",,"PODLESNII","ACCENAME",,"0"
"3416686",,"MAIKOPSKII 27","ACCENAME",,"0"
"3416691",,"MAIKOPSKII","ACCENAME",,"0"
"3416692",,"MAIKOPSKII 19","ACCENAME",,"0"
"3416696",,"PRODOLGOVATYI","ACCENAME",,"0"
"3416697",,"LUKZHENTSU 1","ACCENAME",,"0"
"3416698",,"SULTANSKII","ACCENAME",,"0"
"3416702",,"BELOV","ACCENAME",,"0"
"3416703",,"SENEVSKII","ACCENAME",,"0"
"3416704",,"SLABOROSLYI","ACCENAME",,"0"
"3416705",,"VIROVSKII","ACCENAME",,"0"
"3416706",,"SOBKO","ACCENAME",,"0"
"3416708",,"TERNOVSKII 1","ACCENAME",,"0"
"3416709",,"TERNOVSKII 2","ACCENAME",,"0"
"3416710",,"KOGIL'NICHANSKII","ACCENAME",,"0"
"3416711",,"GRUSHEVSKII","ACCENAME",,"0"
"3416712",,"TOPOLEVSKII","ACCENAME",,"0"
"3416715",,"PIONERSKII 68","ACCENAME",,"0"
"3416717",,"LESNOI","ACCENAME",,"0"
"3416718",,"VINOGRADNYI","ACCENAME",,"0"
"3416719",,"VINOGRADNYI 1","ACCENAME",,"0"
"3416720",,"BURLYUK 2","ACCENAME",,"0"
"3416721",,"BURLYUK 1","ACCENAME",,"0"
"3416793",,"B 3","ACCENAME",,"0"
"3416793",,"00020","COLLNUMB",,"0"
"3416794",,"00015","COLLNUMB",,"0"
"3416794",,"YARIVSKIJ","ACCENAME",,"0"
"3416795","UKR027","00303","OTHERNUMB",,"0"
"3416795",,"00012","COLLNUMB",,"0"
"3416795",,"Skinoskij","ACCENAME",,"0"
"3416796",,"00013","COLLNUMB",,"0"
"3416796",,"Toporivskij","ACCENAME",,"0"
"3416796","UKR046","0000","OTHERNUMB",,"0"
"3416797",,"00011","COLLNUMB",,"0"
"3416797",,"PRIKARPATSKIJ","ACCENAME",,"0"
"3416797","UKR046","0000","OTHERNUMB",,"0"
"3416798",,"00009","COLLNUMB",,"0"
"3416798",,"KRIULIANSKIJ","ACCENAME",,"0"
"3416799","UKR027","00302","OTHERNUMB",,"0"
"3416799",,"00008","COLLNUMB",,"0"
"3416799",,"Korzheutskij","ACCENAME",,"0"
"3416800",,"KOZAKU","ACCENAME",,"0"
"3416800",,"00006","COLLNUMB",,"0"
"3416801","UKR027","00300","OTHERNUMB",,"0"
