taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes,,,,,,
Asimina triloba,Asimina,triloba,,,,,W,42°33'N,84°34'W,USA,Michigan,,,Serenity Farms,,K09-94-020,,W.J. Beal BG seed exchange,Seed,2,Plant,Arboretum,,,,,Has withstood Finnish summers and winters for 20 years - unusual cold hardiness for this species!,,,,,,
Asimina triloba,Asimina,triloba,,,,Ecos strain,G,,,,,,,,,K09-11-035,,"Ken Asmus, Oikos Tree Croops",Seed,3?,Plant,Arboretum,,,,,"Planted 2019 - current status unverified, but some are lost to winter damage",,,,,,
Asimina triloba,Asimina,triloba,,,,seedlings of 'JXL',G,,,,,,,,,K09-11-054,,Graz University BG Seed Exchange,Seed,1?,Plant,Arboretum,,,,,"Planted 2019 - current status unverified, but some are lost to winter damage",,,,,,
Asimina triloba,Asimina,triloba,,,,seedlings of 'PA Golden',G,,,,,,,,,K09-14-010,,Neal Peterson via Sheffield's Seed Co.,Seed,8?,Plant,Arboretum,,,,,"Planted 2019 - current status unverified, but some are lost to winter damage",,,,,,
Asimina triloba,Asimina,triloba,,,,seedlings of 'Allegheny',G,,,,,,,,,K09-14-011,,Neal Peterson via Sheffield's Seed Co.,Seed,2?,Plant,Arboretum,,,,,"Planted 2019 - current status unverified, but some are lost to winter damage",,,,,,
Asimina triloba,Asimina,triloba,,,,seedlings of 'Shenandoah',G,,,,,,,,,K09-14-012,,Neal Peterson via Sheffield's Seed Co.,Seed,2?,Plant,Arboretum,,,,,"Planted 2019 - current status unverified, but some are lost to winter damage",,,,,,
Carya cordiformis,Carya,cordiformis,,,,,W,44°50'N,93°30'W,USA,Minnesota,,Chanhassen,,,K09-93-253,,Arboretum Mustila 1993 expedition,Seed,2,Plant,Arboretum,,,,,Planted 2001; current height ca. 8 m,,,,,,
Carya laciniosa,Carya,laciniosa,,,,,W,"42°36'39""N","84°22'46""W",USA,Michigan,Ingham County,between Every and Median,Harper Road,,K09-11-082,,W.J. Beal BG seed exchange,Seed,3?,Plant,Arboretum,,,,,Planted 2016 - current status unverified,,,,,,
Carya laciniosa,Carya,laciniosa,,,,,G,,,,,,,,,K09-16-491,,Rogow Arboretum,Seed,12,Plant,Nursery Grounds,,,,,,,,,,,
Carya laciniosa,Carya,laciniosa,,,,,W or G?,38°45'N,79°58'W,USA,West Virginia,Randolph County,Valley Bend,,,K09-17-526,,Arboretum Mustila 2017 expedition,Seed,21,Plant,Nursery Grounds,,,,,,,,,,,
Carya ovata,Carya,ovata,,,,,W,"43° 3' 26"" N","79° 0' 47"" W",Canada,Ontario,,Niagara Falls,Navy Island,,K09-13-156,,Niagara Parks BG Index Seminum,Seed,2,Plant,Nursery Grounds,,,,,,,,,,,
Carya ovata,Carya,ovata,,,,,W,43° 5’ 1” N,79° 17’ 13” W,Canada,Ontario,,Welland,Short Hills Conservation Area,,K09-13-161,,,Seed,2,Plant,Nursery Grounds,,,,,,,,,,,
Carya ovata,Carya,ovata,,,,,W,45°28’1.61”N,74°1’48.17”W,Canada,Quebec,MRC Deux-Montagnes,Parc national d’Oka,,,K09-14-130,,Montreal BG Index seminum,Seed,3,Plant,Nursery Grounds,,,,,,,,,,,
