taxon_full_name,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,num_indiv,germ_type,garden_loc,coll_num,,,,,,,,,,,,,,,,,,,,
Asimina triloba,G,,,,,,,,,09051,,"sd. #7700 from RUG 
Botanic Garden, W19790897",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Asimina triloba,G,,,,,,,,,09602,,nursery Damien Devos,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Asimina triloba,G,,,,,,,,,90152,,"sdlg. fr.BJUV, gift K.Flink",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Asimina triloba,G,,,,,,,,,90153,,"sdlg. fr.BJUV, gift K.Flink",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya aquatica,W,,,US,AL,Dallas,Camden,,,13099,,"sd., wld collected, #08276, coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya aquatica,W,,,US,AL,Dallas,Camden,,,13108,,"sd., wld collected, #08276, coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya aquatica,W,,,US,AL,Dallas,Camden,,,13127,,"sd., wld collected, #08276, coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya aquatica,W,,,US,AL,Dallas,Camden,,,14368,,"sd., wld collected, #08276, coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya aquatica,W,,,US,AL,Dallas,Camden,,,14383,,"sd., wld collected, #08276, coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya aquatica,G,,,,,,,,,91650,,"nursery Waasland: AA.900-82, ",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,W,N35 40.540,W82 54.531,US,NC,Haywood,,"property of John Palmer, Betsy Gap 
Road, in woods at edge of pasture,",,12008,," sd., wld collected Ron Lance, #08173, native tree;  fruit typical and of fairly large size for species, 29 Sept 08,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,W,N35 40.540,W82 54.531,US,NC,Haywood,,"property of John Palmer, Betsy Gap 
Road, in woods at edge of pasture,",,12009,," sd., wld collected Ron Lance, #08173,  native tree;  fruit typical and of fairly large size for species, 29 Sept 08,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,W,,,US,AL,Wilcox,Camden,,,13122,,"wld collected, #08281, coll by Wayne Webb,  Nov 2008,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,W,,,US,AL,Wilcox,Camden,,,13144,,"wld collected, #08281, coll by Wayne Webb,  Nov 2008,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,W, 17S0300850,3922900,US,NC,Jackson,Pinnacle Park,,,14201,,"wld collected Ron Lance, #08282, 3686 ft.",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,W, 17S0300850,3922900,US,NC,Jackson,Pinnacle Park,,,14229,,"wld collected Ron Lance, #08282, 3686 ft.",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,W,,,US,AL,Wilcox,Camden,,,14375,,"sd., wld collected, #08281, coll by 
Wayne Webb,  Nov 2008,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,G,,,,,,,,,92696,,sd ex SCHUMACHER Mass. ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,G,,,,,,,,,93052,,sd Arnold Arboretum ,3,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,G,,,,,,,,,94192,,sd Arnold Arboretum ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,G,,,,,,,,,98083,,"local sd, no reference found",4,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya glabra,G,,,,,,,,,00256,,sd Arnold Arboretum Arnold #2019-0 ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya glabra,G,,,,,,,,,95237,,Arnold #2019-0 ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya glabra var. megacarpa,W,,,US,NC,Henderson,,,,12021,,"sd., collected Ron Lance as var. leiodermis, #08255, 
original tree grown from seed collected in LA in 1989, from a large-fruited specimen. Two trees in cultivation; also adjacent to C. glabra var. megacarpa",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya glabra var. megacarpa,W,,,US,AL,Dallas,Camden,,,12023,,"sd., wld collected, #08279, coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya glabra var. megacarpa,G,,,,,,,,,13163,,"collected Ron Lance, #08254, NC, Henderson Co,  26 Oct 2008, more info in 2008 map, hickory orchard, adjacent trees are var. glabra and var. leiodermis,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya glabra var. megacarpa,G,,,,,,,,,95238,,Arnold #2019-0 ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya glabra var. megacarpa,G,,,,,,,,,97042,,Arnold #2019-0 ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,W,,,US,MO,Missouri,,"Big Oak Tree State Park,  East Prairie, ",,14160,,"wild collected sd. #9642 as C. laciniosa, Charles Snyers 
06102508, MO 63845, Missouri, 25/10/2006,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,G,,,,,,,,,89104,,nursery Waasland,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,G,,,,,,,,,92314,,nursery Niehues,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,G,,,,,,,,,92446,,nursery Waasland,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,G,,,,,,,,,92447,,nursery Waasland,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,G,,,,,,,,,92448,,nursery Waasland,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya laciniosa,W,,,US,NC,Henderson,,,,12418,," collected Ron Lance, #08271, 10 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya laciniosa,W,,,US,NC,Henderson,,,,12420,," collected Ron Lance, #08271, 10 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,G,,,,,,,,,03241,,nursery Niehues,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,G,,,,,,,,,03298,,nursery Niehues,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,W,,,US,AL,Dallas,,,,12019,,"sd., wld collected, #08277,  coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,W,,,US,AL,Dallas,,,,12020,,"sd., wld collected, #08277,  coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,W,N34 19.565,W85 10.317,US,GA,Floyd,,"along U.S. Hwy 27, north of Rome. 
Numerous trees in calcareous flatwoods",,13171,," wld collected Ron Lance, #08263",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,12005,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,12006,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,12007,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,13148,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,14222,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,14384,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,G,,,,,,,,,02269,,seed exchange Arboretum Tervuren par. 16,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,W,,,US,NC,Henderson,,"Bearwallow Mountain. Abundant trees 
around fields near summit.   No other Carya species within this population",,13167,," wld collected Ron Lance, #08098, 26 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
