taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes,
Asimina triloba,ASIMINA,triloba,,,, ,W,36.55358,-87.30697,US,Tennessee,Montgomery,,"Dunbar Cave State Park, Loop Trail",,106427,106427,HNT Staff Expedition to SE USA,Seed,111,Seed, ,2710,Michael Denslow,2011,,"Associated genera include: Platanus, Acer, Liriodendron, Quercus, Tilia, Cercis, Juniperus, Parthenocissus & Aralia.  Collected under Scientific Study Permit 2011-022.",
Asimina triloba 'Mango',ASIMINA,triloba,,,,Mango,G,,, , , ,, ,,140852,140852,Stark Bro's,Plant,1,Plant, , , , ,, ,
Asimina triloba 'NC-1',ASIMINA,triloba,,,,NC-1,G,,, , , ,, ,,140853,140853,Stark Bro's,Plant,1,Plant, , , , ,, ,
Asimina triloba 'Overleese',ASIMINA,triloba,,,,Overleese,G,,, , , ,, ,,106176,106176,Monterey Bay Nur,Plant,1,Plant, , , , ,, ,
Asimina triloba 'Sunflower',ASIMINA,triloba,,,,Sunflower,G,,, , , ,, ,,106177,106177,Monterey Bay Nur,Plant,1,Plant, , , , ,, ,
Carya illinoiensis,CARYA,illinoiensis,,,, , ,,, , , ,, ,,1991,1991,unknown,Unknown,5,Plant,"12-E7, 20, 21-4", , , ,, ,
Carya myristiciformis,CARYA,myristiciformis,,,, ,W,32.25051,86.08931,US,Alabama,Montgomery,,"Pike Road, AL.",,134943,134943, ,Seed,9,Plant,25-N, ,Roger Birkhead,2018,,Hardwood forest in floodplain of intermittent creek on heavy clay soil.,
Diospyros texana,DIOSPYROS,texana,,,, , ,,, , , ,, ,,65893,65893,Saratoga Hortic,Plant,1,Plant,21-4, , , ,, ,
Diospyros texana,DIOSPYROS,texana,,,, ,W,29.54023,99.60587,US,Texas,Uvalde,,"Little Blanco Creek, base of Grape Hollow on Gesundheit Ranch",,136548,136548,"Tim Thibault, HBG Staff",Seed,101,Seed, ,1809,"Thibault, Tim",2019,,"Gravelly to rocky limestone derived soil in association with Quercus spp., Platanus, Aesculus pavia var. flavescens, Juglans major, Juniperus ashei, Sophora secundflora, Berberis, Lycium, Asclepias, Clematis, Opuntia, Euphorbia.",
Diospyros virginiana,DIOSPYROS,virginiana,,,, , ,,, , , ,, ,,2320,2320,unknown,Unknown,1,Plant,14-Jun, , , ,, ,
Diospyros virginiana,DIOSPYROS,virginiana,,,, , ,,, , , ,, ,,128598,128598,Heritage Seedlings,Plant,1,Plant,25-N, , , ,, ,
Juglans californica,JUGLANS,californica,,,, ,G,,, , , ,, ,,125398,125398,Tree of Life Nu,Plant,2,Plant,"3-NW, 6-19", , , ,, ,
Juglans hindsii,JUGLANS,hindsii,,,, , ,,, , , ,, ,,2649,2649,unknown,Unknown,1,Plant,10, , , ,, ,
