"UID","inst_short","taxon_name_accepted","acc_num","prov_type","lat_dd","long_dd","latlong_flag","latlong_det","latlong_uncertainty","geolocated_by","latlong_notes","all_locality","locality","municipality","county","state","country","latlong_country","assoc_sp","orig_source","lin_num","coll_name","coll_num","coll_year","num_indiv","germ_type","garden_loc","rec_as","notes","filename","submission_year","data_source","taxon_name","taxon_full_name_orig","taxon_full_name_concat","genus","species","infra_rank","infra_name","hybrid","cultivar","taxon_name_status","taxon_verif","inst_country","inst_lat","inst_long","inst_type","orig_prov_type","orig_acc_num","orig_num_indiv","orig_lat","orig_long","rl_category","ns_rank"
NA,"DawesArb","Juglans microcarpa","D2017-0031","W",37.2948,-98.9563,"","Given in original record",NA,NA,NA,"Alexander Ranch, 18.5 miles west of Medicine Lodge | Medicine Lodge | Barber County | KS | United States of America | Brenton Arboretum | TBREA 2017-131 |  | Roth, Stan | 2016 | 37.2948 | -98.9563 | ","Alexander Ranch, 18.5 miles west of Medicine Lodge","Medicine Lodge","Barber County","KS","United States of America","United States of America","Shallow valley/lowland with small perennial stream flow, fairly wide relatively shrub-free riparian areas and a few Celtis, UImus and other trees intermixed with the Juglans microcarpa. There is some grazing/browsing on these private ranchlands.","Brenton Arboretum","TBREA 2017-131","Roth, Stan",NA,2016,3,"Plant","Nursery","Seed",NA,"DawesArb","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa Berland.","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted","Not determined","United States",39.97846,-82.41623,"Botanic Garden","W","D2017-0031","3","37.2948","-98.9563","Least Concern","G5 (Secure)"
NA,"DawesArb","Juglans microcarpa","D2017-0032","W",37.436183,-99.78915,"","Given in original record",NA,NA,NA,"Couch Ranch, ca. 28km n. of Ashland | Ashland | Clark County | KS | United States of America | Brenton Arboretum | TBREA 2017-133 |  | Brunson, Ken | 2016 | 37.4362 | -99.7892 | ","Couch Ranch, ca. 28km n. of Ashland","Ashland","Clark County","KS","United States of America","United States of America","The tree is on the fringe of the floodplain of Simmons Creek north of Clark State Fishing Lake in northern Clark County, Kansas. It is a scattered tree savannah with other walnut trees, cottonwoods and elm.","Brenton Arboretum","TBREA 2017-133","Brunson, Ken",NA,2016,1,"Plant","Nursery","Seed",NA,"DawesArb","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa Berland.","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted","Not determined","United States",39.97846,-82.41623,"Botanic Garden","W","D2017-0032","1","37.436183","-99.78915","Least Concern","G5 (Secure)"
NA,"HuntingtonBG","Juglans major","109074","W",32.9098,-107.80291,"","Given in original record",NA,NA,NA,"Iron Creek Campground |  | Grant | New Mexico | US | USFS |  | SN | Tom Coleman | 2012 | 32.9098 | -107.8029 | ","Iron Creek Campground",NA,"Grant","New Mexico","US","United States of America",NA,"USFS",NA,"Tom Coleman","SN",2012,1,"Plant","25-N","Seed",NA,"HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","109074","1","32.9098","-107.80291","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","109075","W",33.17978,-108.20558,"","Given in original record",NA,NA,NA,"Grapevine Campground |  | Grant | New Mexico | US | USFS |  | SN | Tom Coleman | 2012 | 33.1798 | -108.2056 | ","Grapevine Campground",NA,"Grant","New Mexico","US","United States of America",NA,"USFS",NA,"Tom Coleman","SN",2012,5,"Plant","21-2, 21-3","Seed",NA,"HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","109075","5","33.17978","-108.20558","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","136541","W",30.45189,-98.98546,"","Given in original record",NA,NA,NA,"US 87, ca. 1.5 miles S of Cherry Spring |  | Gillespie | Texas | US | Tim Thibault, HBG Staff |  | 1800 | Thibault, Tim | 2019 | 30.4519 | -98.9855 | Limestone, top of creek drainage in association with Quercus fusiformis, Juniperus ashei, Celtis, Berberis, Forestiera, Vitis, Smilax, Muhlenbergia lindheimeri, Yucca, Sideroxylon lanuginosum, Diospyros texana.","US 87, ca. 1.5 miles S of Cherry Spring",NA,"Gillespie","Texas","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1800",2019,1,"Plant","25-N","Seed","Limestone, top of creek drainage in association with Quercus fusiformis, Juniperus ashei, Celtis, Berberis, Forestiera, Vitis, Smilax, Muhlenbergia lindheimeri, Yucca, Sideroxylon lanuginosum, Diospyros texana.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136541","1","30.45189","98.98546","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","136542","W",30.29774,-98.99562,"","Given in original record",NA,NA,NA,"Hwy 290 at Honey Creek |  | Gillespie | Texas | US | Tim Thibault, HBG Staff |  | 1801 | Thibault, Tim | 2019 | 30.2977 | -98.9956 | Drainage above creek, gravelly limestone soil in association with Quercus, Carya, Ulmus, Yucca, Juniperus, Rhus, Tillandsia recurvata, Cooperia pedunculata.","Hwy 290 at Honey Creek",NA,"Gillespie","Texas","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1801",2019,1,"Plant","25-N","Seed","Drainage above creek, gravelly limestone soil in association with Quercus, Carya, Ulmus, Yucca, Juniperus, Rhus, Tillandsia recurvata, Cooperia pedunculata.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136542","1","30.29774","98.99562","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","136552","W",29.89071,-99.701,"","Given in original record",NA,NA,NA,"Hwy 83 N of Leakey |  | Real | Texas | US | Tim Thibault, HBG Staff |  | 1815 | Thibault, Tim | 2019 | 29.8907 | -99.701 | Roadside drainage in association with Rhus, Vitis, Smilax, Quercus, Celtis.","Hwy 83 N of Leakey",NA,"Real","Texas","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1815",2019,1,"Plant","25-N","Seed","Roadside drainage in association with Rhus, Vitis, Smilax, Quercus, Celtis.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136552","1","29.89071","99.701","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","136553","W",29.72014,-99.68801,"","Given in original record",NA,NA,NA,"Ranch Road 337 E of Leakey |  | Real | Texas | US | Tim Thibault, HBG Staff |  | 1816 | Thibault, Tim | 2019 | 29.7201 | -99.688 | Gravelly bench above road in association with Quercus, Juniperus, Rhus, Tillandsia.","Ranch Road 337 E of Leakey",NA,"Real","Texas","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1816",2019,11,"Plant","25-N","Seed","Gravelly bench above road in association with Quercus, Juniperus, Rhus, Tillandsia.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136553","11","29.72014","99.68801","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","136557","W",31.43216,-111.18819,"","Given in original record",NA,NA,NA,"Sycamore Canyon trailhead, terminus of FS 4181 |  | Santa Cruz | Arizona | US | Tim Thibault, HBG Staff |  | 1826 | Thibault, Tim | 2019 | 31.4322 | -111.1882 | Flat gravelly bench above drainage in association with Quercus emoryi, Populus fremontii, Toxicodendron, grasses.","Sycamore Canyon trailhead, terminus of FS 4181",NA,"Santa Cruz","Arizona","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1826",2019,1,"Plant","25-N","Seed","Flat gravelly bench above drainage in association with Quercus emoryi, Populus fremontii, Toxicodendron, grasses.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136557","1","31.43216","111.18819","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","136558","W",31.73034,-110.68956,"","Given in original record",NA,NA,NA,"Gardner Canyon, FS 92 just W of Coronado NF boundary |  | Santa Cruz | Arizona | US | Tim Thibault, HBG Staff |  | 1827 | Thibault, Tim | 2019 | 31.7303 | -110.6896 | Gentle-moderate S slope, gravelly sand in association with Prosopis, Chilopsis, Sapindus, Quercus emoryi, grasses.","Gardner Canyon, FS 92 just W of Coronado NF boundary",NA,"Santa Cruz","Arizona","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1827",2019,1,"Plant","25-N","Seed","Gentle-moderate S slope, gravelly sand in association with Prosopis, Chilopsis, Sapindus, Quercus emoryi, grasses.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136558","1","31.73034","110.68956","Least Concern","G4 (Apparently Secure)"
