"family","taxon","author","native_distribution"
"Juglandaceae","Juglans australis","Griseb.","Argentina; Bolivia, Plurinational State of"
"Juglandaceae","Juglans boliviana","(C.DC.) Dode","Bolivia, Plurinational State of; Peru"
"Juglandaceae","Juglans californica","S. Watson","United States"
"Juglandaceae","Juglans cathayensis","Dode","China; Korea, Democratic People's Republic of; Korea, Republic of; Russian Federation; Taiwan, Province of China"
"Juglandaceae","Juglans cinerea","L.","Canada; United States"
"Juglandaceae","Juglans hindsii","(Jeps.) Jeps. ex R.E.Sm.","United States"
"Juglandaceae","Juglans jamaicensis","C.DC.","Cuba; Dominican Republic; Haiti; Puerto Rico"
"Juglandaceae","Juglans major","(Torr.) A.Heller","Mexico; United States"
"Juglandaceae","Juglans mandshurica","Maxim.","China; Japan; Korea, Democratic People's Republic of; Korea, Republic of; Mongolia; Russian Federation; Taiwan, Province of China"
"Juglandaceae","Juglans mexicana","S.Watson","Mexico"
"Juglandaceae","Juglans microcarpa","Berland.","Mexico; United States"
"Juglandaceae","Juglans mollis","Engelm.","Mexico"
"Juglandaceae","Juglans neotropica","Diels","Colombia; Ecuador; Peru"
"Juglandaceae","Juglans nigra","L.","Canada; United States"
"Juglandaceae","Juglans olanchana","Standl. & L.O.Williams","Costa Rica; El Salvador; Guatemala; Honduras; Mexico; Nicaragua"
"Juglandaceae","Juglans pyriformis","Liebm.","El Salvador; Guatemala; Honduras; Mexico; Nicaragua"
"Juglandaceae","Juglans regia","L.","Afghanistan; Armenia; Austria; Azerbaijan; Bosnia and Herzegovina; Bulgaria; China; Croatia; Georgia; Germany; India; Kazakhstan; Kyrgyzstan; Pakistan; Romania; Serbia; Tajikistan; Turkey; Turkmenistan; Uzbekistan"
"Juglandaceae","Juglans steyermarkii","W.E. Manning","Guatemala"
"Juglandaceae","Juglans venezuelensis","W.E.Manning","Venezuela, Bolivarian Republic of"
