assessmentId,scientificName,internalTaxonId,AOO.range,EOO.range,DepthLower.limit,DepthUpper.limit,Congregatory.value,NoThreats.noThreats,ElevationLower.limit,ElevationUpper.limit,PopulationSize.range,ThreatsUnknown.value,LocationsNumber.range,GenerationLength.range,MovementPatterns.pattern,SubpopulationNumber.range,AreaRestricted.isRestricted,CropWildRelative.isRelative,YearOfPopulationEstimate.value,InPlaceEducationControlled.value,SevereFragmentation.isFragmented,InPlaceResearchRecoveryPlan.value,InPlaceLandWaterProtectionInPA.value,InPlaceSpeciesManagementExSitu.value,InPlaceResearchMonitoringScheme.value,InPlaceEducationSubjectToPrograms.value,InPlaceSpeciesManagementHarvestPlan.value,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceEducationInternationalLegislation.value,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceLandWaterProtectionPercentProtected.value
5028136,Helicella juglans,157063,,9248,,,,true,,,,,,,,,,,,,No,,,,,,,,,,,
9648640,Juglans insularis,31699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9672729,Juglans neotropica,32078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9697238,Carya sinensis,32321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9820332,Juglans jamaicensis,33985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9862421,Juglans australis,34359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61526700,Juglans regia,63495,,,,,,,600,3000,,,,,,,,,,,,,,Yes,,,,,,,,
62019579,Carya aquatica,62019576,,,,,,true,0,200,,,,,,,,,,,,,Yes,Yes,,,,,,,,
62019600,Carya cordiformis,62019598,,,,,,true,0,900,,,,,,,,,,,,,,Yes,,,,,,,,
62019609,Carya glabra,62019607,,,,,,true,0,800,,,,,,,,,,,,,,Yes,,,,,,,,
62019633,Carya laciniosa,62019631,,,,,,true,20,300,,,,,,,,,,,,,,Yes,,,,,,,,
62019642,Carya myristiciformis,62019640,,,,,,,0,500,,,,,,,,,,,,,,Yes,,,,,,,,
62019651,Carya ovata,62019649,,,,,,true,0,1400,,,,,,,,,,,,,,Yes,,,,,,,,
62019666,Engelhardia roxburghiana,62019664,,,,,,,200,1750,,,,,,,,,,,,,,Yes,,,,,,,,
62019714,Juglans nigra,62019712,,,,,,,0,1000,,,,,,,,,,,,,,Yes,,,,,,,,
126194528,Carya tomentosa,126194480,,,,,,true,0,900,,,,,,,,,,,,,,Yes,,,,,,,,
62019624,Carya illinoinensis,62019622,,2363995,,,,,0,600,,,,,,,,,,,,,,Yes,,,,,,,,
62019696,Juglans cinerea,62019689,,,,,,,,1400,,,,40,,,,,,,,,,Yes,,,,,,,,
66813150,Juglans major,66813121,,,,,,,300,2100,,,,,,,,,,,,,,,,,,,,,,
66813479,Juglans microcarpa,66813477,,,,,,true,200,2000,,,,,,,,,,,,,,,,,,,,,,
61524825,Juglans californica,35154,1200-2000,28852,,,,,30,900,,,,,,,,,,,,,Yes,Yes,,,,,,,,
66816002,Pterocarya fraxinifolia,66815986,,1160616,,,,,0,1730,,,,20-30,,,,,,,,,Yes,Yes,,,,,,,,
62019705,Juglans hindsii,62019703,,175000,,,,,0,300,,,,,,,,No,,,,,,Yes,,,,,,,,
66813465,Juglans mexicana,66813463,,,,,,,1400,1400,,,,,,,,,,,,Unknown,,,,Unknown,Unknown,,,,No,
66813976,Juglans venezuelensis,66813974,16,16,,,,,1000,1600,,,5-20,,,,Unknown,,,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Yes, over part of range",
126598076,Juglans pyriformis,126593309,232,31977,,,,,1000,1900,,,,30,,,,,,,,Unknown,Yes,,,Unknown,Unknown,,,,"Yes, over part of range",
66813602,Juglans mollis,66813600,,150017.430,,,,true,800,2500,,,,,,,,,,,,,,,,,,,,,,
66813903,Juglans steyermarkii,66813854,44,7142,,,,,1500,2200,,,5,,,,,,,,,,Unknown,Yes,,,,,,,,
61528606,Juglans olanchana,30700,248.000,726706.972,,,,,50,1800,,,12,,,,,,,,,,Yes,,,,,,,,"Yes, over part of range",
202881013,Picrodendron baccatum,202838448,196,760000,,,,,2,,,,102,,,,No,No,,No,Unknown,No,Unknown,Unknown,No,No,No,No,No,No,No,
237729164,Dysoxylum juglans,175698140,36,516255,,,,,,,,,9,,,,,No,,,,,Yes,No,,,,,,,,
