assessmentId,internalTaxonId,scientificName,code,name,note
62019696,62019689,Juglans cinerea,3.2,Species recovery,""
62019696,62019689,Juglans cinerea,3.4.1,Captive breeding/artificial propagation,""
66816002,66815986,Pterocarya fraxinifolia,5.1.2,National level,""
66816002,66815986,Pterocarya fraxinifolia,1.1,Site/area protection,""
66816002,66815986,Pterocarya fraxinifolia,3.4.2,Genome resource bank,""
66813976,66813974,Juglans venezuelensis,1.2,Resource & habitat protection,""
66813976,66813974,Juglans venezuelensis,4.2,Training,""
66813976,66813974,Juglans venezuelensis,4.1,Formal education,""
126598076,126593309,Juglans pyriformis,6.1,Linked enterprises & livelihood alternatives,""
66813903,66813854,Juglans steyermarkii,3.4.2,Genome resource bank,""
61528606,30700,Juglans olanchana,6.1,Linked enterprises & livelihood alternatives,""
61528606,30700,Juglans olanchana,6.1,Linked enterprises & livelihood alternatives,""
202881013,202838448,Picrodendron baccatum,3.4.1,Captive breeding/artificial propagation,""
202881013,202838448,Picrodendron baccatum,3.4.2,Genome resource bank,""
202881013,202838448,Picrodendron baccatum,1.1,Site/area protection,""
202881013,202838448,Picrodendron baccatum,4.3,Awareness & communications,""
202881013,202838448,Picrodendron baccatum,1.2,Resource & habitat protection,""
237729164,175698140,Dysoxylum juglans,1.1,Site/area protection,""
237729164,175698140,Dysoxylum juglans,4.3,Awareness & communications,""
237729164,175698140,Dysoxylum juglans,2.1,Site/area management,""
