assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
5028136,157063,Helicella juglans,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,GEOMITRIDAE,Helicella,juglans,,,,"E. Gittenberger, 1991",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
9648640,31699,Juglans insularis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,insularis,,,,Griseb.,Vulnerable,B1+2c,2.3,,Global
9672729,32078,Juglans neotropica,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,neotropica,,,,Diels,Endangered,A1acd+2cd,2.3,,Global
9697238,32321,Carya sinensis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,sinensis,,,,Dode,Endangered,B1+2cde,2.3,,Global
9820332,33985,Juglans jamaicensis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,jamaicensis,,,,C.DC.,Vulnerable,"A1c, B1+2c",2.3,,Global
9862421,34359,Juglans australis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,australis,,,,Griseb.,Lower Risk/near threatened,,2.3,,Global
61524825,35154,Juglans californica,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,californica,,,,S.Watson,Near Threatened,B2b(iii),3.1,Decreasing,Global
61526700,63495,Juglans regia,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,regia,,,,L.,Least Concern,,3.1,Unknown,Global
61528606,30700,Juglans olanchana,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,olanchana,,,,Standl. &amp; L.O.Williams,Near Threatened,B2ab(iii),3.1,Decreasing,Global
62019579,62019576,Carya aquatica,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,aquatica,,,,(F.Michx.) Nutt. ex Elliott,Least Concern,,3.1,Stable,Global
62019600,62019598,Carya cordiformis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,cordiformis,,,,(Wangenh.) K.Koch,Least Concern,,3.1,Stable,Global
62019609,62019607,Carya glabra,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,glabra,,,,(Mill.) Sweet,Least Concern,,3.1,Stable,Global
62019624,62019622,Carya illinoinensis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,illinoinensis,,,,(Wangenh.) K.Koch,Least Concern,,3.1,Stable,Global
62019633,62019631,Carya laciniosa,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,laciniosa,,,,(F.Michx.) G.Don,Least Concern,,3.1,Stable,Global
62019642,62019640,Carya myristiciformis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,myristiciformis,,,,(F.Michx.) Nutt. ex Elliott,Least Concern,,3.1,Stable,Global
62019651,62019649,Carya ovata,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Carya,ovata,,,,(Mill.) K.Koch,Least Concern,,3.1,Stable,Global
62019666,62019664,Engelhardia roxburghiana,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Engelhardia,roxburghiana,,,,Lindl.,Least Concern,,3.1,Unknown,Global
62019696,62019689,Juglans cinerea,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,cinerea,,,,L.,Endangered,A2e+3e+4e,3.1,Decreasing,Global
62019705,62019703,Juglans hindsii,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,hindsii,,,,Jeps. ex R.E.Sm.,Least Concern,,3.1,Stable,Global
62019714,62019712,Juglans nigra,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,nigra,,,,L.,Least Concern,,3.1,Stable,Global
66813150,66813121,Juglans major,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,major,,,,(Torr.) A.Heller,Least Concern,,3.1,Stable,Global
66813465,66813463,Juglans mexicana,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,mexicana,,,,S.Watson,Data Deficient,,3.1,Unknown,Global
66813479,66813477,Juglans microcarpa,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,microcarpa,,,,Berland.,Least Concern,,3.1,Stable,Global
66813602,66813600,Juglans mollis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,JUGLANDACEAE,Juglans,mollis,,,,Engelm.,Least Concern,,3.1,Stable,Global
