internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
31699,Juglans insularis,Juglans jamaicensis C.DC. ssp. insularis (Griseb.) H.Schaarschm.,Juglans,jamaicensis,C.DC.,subspecies,(Griseb.) H.Schaarschm.
32321,Carya sinensis,Annamocarya sinensis (Dode) J.-F.Leroy,Annamocarya,sinensis,(Dode) J.-F.Leroy,,
32321,Carya sinensis,Juglans  indochinensis  A.Chev.,Juglans ,indochinensis ,A.Chev.,,
32321,Carya sinensis,Annamocarya  indochinensis  (A.Chev.) A.Chev.,Annamocarya ,indochinensis ,(A.Chev.) A.Chev.,,
32321,Carya sinensis,Rhamphocarya  integrifoliata  Kuang,Rhamphocarya ,integrifoliata ,Kuang,,
33985,Juglans jamaicensis,Juglans insularis Griseb.,Juglans,insularis,Griseb.,,
33985,Juglans jamaicensis,Juglans jamaicensis  (Griseb.) H.Schaarschm. ssp. insularis,Juglans,jamaicensis, (Griseb.) H.Schaarschm.,subspecies,
63495,Juglans regia,Juglans sigillata Dode,Juglans,sigillata,Dode,,
30700,Juglans olanchana,Juglans pyriformis Liebm. [illegitimate],Juglans,pyriformis,Liebm. [illegitimate],,
62019576,Carya aquatica,Juglans aquatica F.Michx.,Juglans,aquatica,F.Michx.,,
62019598,Carya cordiformis,Juglans cordiformis Wangenh.,Juglans,cordiformis,Wangenh.,,
62019607,Carya glabra,Hicorius ovalis (Wangenh.) Ashe,Hicorius,ovalis,(Wangenh.) Ashe,,
62019607,Carya glabra,Hicorius porcina (F.Michx.) Raf.,Hicorius,porcina,(F.Michx.) Raf.,,
62019607,Carya glabra,Juglans glabra Mill.,Juglans,glabra,Mill.,,
62019622,Carya illinoinensis,Juglans illinoinensis Wangenh.,Juglans,illinoinensis,Wangenh.,,
62019631,Carya laciniosa,Juglans laciniosa F.Michx.,Juglans,laciniosa,F.Michx.,,
62019640,Carya myristiciformis,Juglans myristiciformis F.Michx.,Juglans,myristiciformis,F.Michx.,,
62019649,Carya ovata,Juglans ovata Mill.,Juglans,ovata,Mill.,,
62019664,Engelhardia roxburghiana,Engelhardia fenzelii Merr.,Engelhardia,fenzelii,Merr.,,
62019664,Engelhardia roxburghiana,Alfaroa roxburghiana (Lindl. ex Wall.) Iljinsk.,Alfaroa,roxburghiana,(Lindl. ex Wall.) Iljinsk.,,
62019664,Engelhardia roxburghiana,Engelhardia wallichiana Lindl. var. chrysolepis (Hance) C.DC.,Engelhardia,wallichiana,Lindl.,variety,(Hance) C.DC.
62019664,Engelhardia roxburghiana,Engelhardia wallichiana Lindl.,Engelhardia,wallichiana,Lindl.,,
62019664,Engelhardia roxburghiana,Engelhardia spicata Lesch. ex Blume var. formosana Hayata,Engelhardia,spicata,Lesch. ex Blume,variety,Hayata
62019664,Engelhardia roxburghiana,Engelhardia roxburghiana Lindl. fma. brevialata W.E.Manning,Engelhardia,roxburghiana,Lindl.,forma,W.E.Manning
62019664,Engelhardia roxburghiana,Engelhardia formosana (Hayata) Hayata,Engelhardia,formosana,(Hayata) Hayata,,
62019664,Engelhardia roxburghiana,Engelhardia roxburghiana Wall.,Engelhardia,roxburghiana,Wall.,,
62019664,Engelhardia roxburghiana,Engelhardia chrysolepis Hance,Engelhardia,chrysolepis,Hance,,
62019664,Engelhardia roxburghiana,Alfaropsis roxburghiana (Wall.) Iljinsk.,Alfaropsis,roxburghiana,(Wall.) Iljinsk.,,
62019664,Engelhardia roxburghiana,Juglans pterococca Roxb.,Juglans,pterococca,Roxb.,,
62019664,Engelhardia roxburghiana,Engelhardia unijuga Chun ex P.Y.Chen,Engelhardia,unijuga,Chun ex P.Y.Chen,,
62019664,Engelhardia roxburghiana,Engelhardtia roxburghiana Lindl. [orth. error],Engelhardtia,roxburghiana,Lindl. [orth. error],,
62019703,Juglans hindsii,Juglans californica S.Watson var. hindsii Jepson,Juglans,californica,S.Watson,variety,Jepson
66813121,Juglans major,Juglans rupestris Engelm. ex Torr. var. major Torr.,Juglans,rupestris,Engelm. ex Torr.,variety,Torr.
66813463,Juglans mexicana,Juglans hirsuta W.E.Manning,Juglans,hirsuta,W.E.Manning,,
66815986,Pterocarya fraxinifolia,Juglans fraxinifolia Poir.,Juglans,fraxinifolia,Poir.,,
66815986,Pterocarya fraxinifolia,Pterocarya pterocarpa Kunth ex I.Iljinsk.,Pterocarya,pterocarpa,Kunth ex I.Iljinsk.,,
66815986,Pterocarya fraxinifolia,Pterocarya pterocarpa (Michx) Kunth ex I.Iljinsk,Pterocarya,pterocarpa,(Michx) Kunth ex I.Iljinsk,,
126194480,Carya tomentosa,Juglans tomentosa Poiret,Juglans,tomentosa,Poiret,,
202838448,Picrodendron baccatum,Juglans baccata L.,Juglans,baccata,L.,,
175698140,Dysoxylum juglans,Epicharis juglans Hance,Epicharis,juglans,Hance,,
