assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
9648640,31699,Juglans insularis,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
9648640,31699,Juglans insularis,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
9672729,32078,Juglans neotropica,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
9697238,32321,Carya sinensis,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
9697238,32321,Carya sinensis,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
9697238,32321,Carya sinensis,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
9820332,33985,Juglans jamaicensis,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
9820332,33985,Juglans jamaicensis,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
9820332,33985,Juglans jamaicensis,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
9862421,34359,Juglans australis,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
61526700,63495,Juglans regia,2.3.4,Scale Unknown/Unrecorded,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
61526700,63495,Juglans regia,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
61526700,63495,Juglans regia,5.2.1,Intentional use (species is the target),2.3.7,Reduced reproductive success,,,,Unknown,Unknown,,Ongoing,
61526700,63495,Juglans regia,8.1.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Armillaria mellea,,Unknown,Unknown,,Ongoing,
61526700,63495,Juglans regia,8.1.1,Unspecified species,2.2,Species disturbance,,,,Unknown,Unknown,,Ongoing,
62019642,62019640,Carya myristiciformis,2.3.4,Scale Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
62019642,62019640,Carya myristiciformis,2.1.4,Scale Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Rapid Declines,,Ongoing,
62019642,62019640,Carya myristiciformis,5.3.2,Intentional use: (large scale) [harvest],1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Rapid Declines,,Ongoing,
62019642,62019640,Carya myristiciformis,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Rapid Declines,,Ongoing,
62019714,62019712,Juglans nigra,8.2,Problematic native species/diseases,2.1|2.2,Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
62019624,62019622,Carya illinoinensis,11.1,Habitat shifting & alteration,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Future,
62019624,62019622,Carya illinoinensis,8.2,Problematic native species/diseases,2.2,Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
62019696,62019689,Juglans cinerea,8.3,Introduced genetic material,2.2|2.3.1,Species disturbance|Hybridisation,,,,Unknown,Causing/Could cause fluctuations,,Ongoing,
62019696,62019689,Juglans cinerea,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),Unknown,,Ongoing,
62019696,62019689,Juglans cinerea,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
62019696,62019689,Juglans cinerea,11.1,Habitat shifting & alteration,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Future,
66813150,66813121,Juglans major,11.3,Temperature extremes,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
66813150,66813121,Juglans major,11.2,Droughts,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
66813150,66813121,Juglans major,11.1,Habitat shifting & alteration,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Future,
61524825,35154,Juglans californica,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),Rapid Declines,,Ongoing,
